[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: update xt_fck set agent_use=agent_use+3.24,zjj=zjj+b11+b12+b13+b14+b15+b16+b17+b18+b19,is_tj=1 where id=297 and b0=3.24 and is_tj=0 [ RunTime:0.000640s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_bonus` WHERE ( `did` = '96' ) AND ( `uid` = '297' ) LIMIT 1   [ RunTime:0.003677s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_bonus` (`e_date`,`s_date`,`user_id`,`did`,`uid`,`b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`b9`,`b10`,`b11`,`b12`,`b13`,`b14`,`b15`,`b16`,`b17`,`b18`,`b19`,`b20`,`b25`) VALUES (1412611199,'1412524799','111','96','297','3.24','3.24','0.00','0.00','0.00','0.00','0.00','0.00','0.00','0.00','-0.60','6.00','0.00','0.00','0.00','0.00','0.00','0.00','0.00','0.00','0.00','2.16') [ RunTime:0.000414s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: update xt_fck set b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,b10=0,b11=0,b12=0,b13=0,b14=0,b15=0,b16=0,b17=0,b18=0,b19=0,b20=0,b25=0,is_tj=0 where id=297 [ RunTime:0.000640s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_times_bonus` [ RunTime:0.005715s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT `b0`,`b1`,`b2`,`b3`,`b4`,`b5`,`b6`,`b7`,`b8`,`b9`,`b10` FROM `xt_fee` LIMIT 1   [ RunTime:0.000293s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT * FROM `xt_times` ORDER BY id desc LIMIT 1   [ RunTime:0.000327s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b0) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000419s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.004036s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000457s ]
[ 2014-10-06T00:00:01+08:00 ] /index.php/Test/xxx | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `did` = '96' ) LIMIT 1   [ RunTime:0.000491s ]
